feature,value
wavelet-LLL_glszm_ZoneEntropy,0.19381124682052225
logarithm_firstorder_Entropy,0.1936918297688756
lbp-3D-k_glszm_SizeZoneNonUniformity,0.19364489372694602
wavelet-HHH_glrlm_RunPercentage,0.19322282132280869
wavelet-LHH_glcm_Id,0.1927924555308493
wavelet-LLL_glcm_Imc2,0.1925471960470507
wavelet-LHH_ngtdm_Coarseness,0.1923974950291064
square_glcm_Correlation,0.19208926768568557
squareroot_glcm_Contrast,0.19200864314546187
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.19185406894542678
original_ngtdm_Contrast,0.19162039364230551
wavelet-HLH_ngtdm_Coarseness,0.19155645536827598
original_glcm_Correlation,0.19121098968784675
wavelet-HLL_glcm_MCC,0.19120226200829835
wavelet-HHL_ngtdm_Coarseness,0.1911553434286133
wavelet-HHH_glcm_JointEnergy,0.19084352884542474
original_glcm_Idmn,0.1905755706661326
wavelet-HHH_gldm_GrayLevelNonUniformity,0.19045203180838305
squareroot_glcm_Imc2,0.19001870641199337
wavelet-HLH_firstorder_Uniformity,0.18959297658781674
gradient_ngtdm_Coarseness,0.1895539575281969
wavelet-HHL_glcm_Imc1,0.18949530795934436
wavelet-HHH_ngtdm_Coarseness,0.18931200663465036
logarithm_glcm_SumEntropy,0.18924445610012824
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.18865662637600708
logarithm_glszm_GrayLevelNonUniformityNormalized,0.1883366715139255
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.18803270197376662
logarithm_glrlm_LongRunEmphasis,0.18783709603010298
wavelet-LLH_glrlm_RunVariance,0.18737003104498529
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.18733661276300462
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.1873283639416476
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.1872761814425299
wavelet-LHL_ngtdm_Strength,0.18724589989900745
wavelet-LLL_firstorder_TotalEnergy,0.1870716146432125
logarithm_glcm_DifferenceVariance,0.18700496361795796
wavelet-HLL_ngtdm_Complexity,0.18693698721883492
lbp-3D-k_firstorder_Maximum,0.186907106301842
lbp-3D-k_firstorder_Range,0.186816017883945
squareroot_ngtdm_Complexity,0.18680067624334032
wavelet-HLH_glcm_MaximumProbability,0.18667463962318862
wavelet-LLH_glszm_SmallAreaEmphasis,0.1865639726438289
gradient_ngtdm_Strength,0.1863714612855001
wavelet-HHL_glszm_SmallAreaEmphasis,0.18611912296576968
squareroot_firstorder_TotalEnergy,0.1860933962009959
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.18602259100960059
original_gldm_DependenceVariance,0.18592634355305757
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.18584865222048957
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.18575711830206154
wavelet-LLL_firstorder_90Percentile,0.18569340061561934
original_ngtdm_Strength,0.18523784549878125
squareroot_glrlm_RunLengthNonUniformityNormalized,0.1848883427409718
original_firstorder_TotalEnergy,0.18478223524800583
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.18451816845666963
lbp-3D-m2_firstorder_Mean,0.18425885290473415
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.18371571461646521
original_firstorder_90Percentile,0.1832315764825939
squareroot_glszm_HighGrayLevelZoneEmphasis,0.18311078831398217
wavelet-LLH_firstorder_Skewness,0.18249489360751825
wavelet-LHH_glcm_JointEntropy,0.1824676864903532
squareroot_glrlm_ShortRunEmphasis,0.18228802655070564
wavelet-HHH_firstorder_Uniformity,0.1820647739916201
wavelet-LLH_gldm_LargeDependenceEmphasis,0.18179593446825296
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.1817169002713685
gradient_glszm_ZoneEntropy,0.18125876847851052
wavelet-LHH_firstorder_Entropy,0.18122097097799542
wavelet-HLL_glcm_ClusterProminence,0.18109432589496635
wavelet-HLH_gldm_DependenceVariance,0.1808089059914949
wavelet-LHL_glrlm_RunVariance,0.18042983439691246
wavelet-LHH_glcm_DifferenceEntropy,0.18030617615943653
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.17998104987243888
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.17995152217020352
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.17994354670482005
wavelet-HLH_firstorder_Mean,0.1799162764422325
squareroot_gldm_DependenceEntropy,0.17983118126832742
wavelet-HLL_glcm_Autocorrelation,0.17960219725563323
wavelet-HLH_glcm_Idm,0.179448439820548
squareroot_firstorder_Kurtosis,0.17942699898016579
wavelet-HHL_glcm_Autocorrelation,0.17924282476648143
square_ngtdm_Coarseness,0.17902657523317028
original_gldm_LargeDependenceEmphasis,0.1788947261345781
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.17857137125470104
wavelet-HLH_glcm_Id,0.17854993684581552
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.17792652070820925
wavelet-HLL_firstorder_Range,0.1778535509014021
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.177853020608547
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.17782918784963
