feature,importance
logarithm_glszm_GrayLevelNonUniformityNormalized,0.188336672
wavelet-HLH_glrlm_GrayLevelNonUniformityNormalized,0.188032702
logarithm_glrlm_LongRunEmphasis,0.187837096
wavelet-LLH_glrlm_RunVariance,0.187370031
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.187336613
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.187328364
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.187276181
wavelet-LHL_ngtdm_Strength,0.1872459
wavelet-LLL_firstorder_TotalEnergy,0.187071615
logarithm_glcm_DifferenceVariance,0.187004964
wavelet-HLL_ngtdm_Complexity,0.186936987
lbp-3D-k_firstorder_Maximum,0.186907106
lbp-3D-k_firstorder_Range,0.186816018
squareroot_ngtdm_Complexity,0.186800676
wavelet-HLH_glcm_MaximumProbability,0.18667464
wavelet-LLH_glszm_SmallAreaEmphasis,0.186563973
gradient_ngtdm_Strength,0.186371461
wavelet-HHL_glszm_SmallAreaEmphasis,0.186119123
squareroot_firstorder_TotalEnergy,0.186093396
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.186022591
original_gldm_DependenceVariance,0.185926344
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.185848652
wavelet-HHH_glrlm_GrayLevelNonUniformityNormalized,0.185757118
wavelet-LLL_firstorder_90Percentile,0.185693401
original_ngtdm_Strength,0.185237845
squareroot_glrlm_RunLengthNonUniformityNormalized,0.184888343
original_firstorder_TotalEnergy,0.184782235
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,0.184518168
lbp-3D-m2_firstorder_Mean,0.184258853
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.183715715
original_firstorder_90Percentile,0.183231576
squareroot_glszm_HighGrayLevelZoneEmphasis,0.183110788
wavelet-LLH_firstorder_Skewness,0.182494894
wavelet-LHH_glcm_JointEntropy,0.182467686
squareroot_glrlm_ShortRunEmphasis,0.182288027
wavelet-HHH_firstorder_Uniformity,0.182064774
wavelet-LLH_gldm_LargeDependenceEmphasis,0.181795934
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.1817169
gradient_glszm_ZoneEntropy,0.181258768
wavelet-LHH_firstorder_Entropy,0.181220971
wavelet-HLL_glcm_ClusterProminence,0.181094326
wavelet-HLH_gldm_DependenceVariance,0.180808906
wavelet-LHL_glrlm_RunVariance,0.180429834
wavelet-LHH_glcm_DifferenceEntropy,0.180306176
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.17998105
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.179951522
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.179943547
wavelet-HLH_firstorder_Mean,0.179916276
squareroot_gldm_DependenceEntropy,0.179831181
wavelet-HLL_glcm_Autocorrelation,0.179602197
wavelet-HLH_glcm_Idm,0.17944844
squareroot_firstorder_Kurtosis,0.179426999
wavelet-HHL_glcm_Autocorrelation,0.179242825
square_ngtdm_Coarseness,0.179026575
original_gldm_LargeDependenceEmphasis,0.178894726
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.178571371
wavelet-HLH_glcm_Id,0.178549937
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.177926521
wavelet-HLL_firstorder_Range,0.177853551
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.177853021
wavelet-HHL_gldm_HighGrayLevelEmphasis,0.177829188
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.17781749
original_glszm_HighGrayLevelZoneEmphasis,0.177632704
logarithm_glrlm_RunVariance,0.17762503
wavelet-LHL_glrlm_LongRunEmphasis,0.177588529
square_glszm_LowGrayLevelZoneEmphasis,0.177345768
logarithm_firstorder_Mean,0.177338645
wavelet-LHL_gldm_LargeDependenceEmphasis,0.177247751
logarithm_gldm_SmallDependenceHighGrayLevelEmphasis,0.176875822
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.176808514
wavelet-LHH_glcm_SumEntropy,0.176742879
lbp-3D-k_gldm_DependenceVariance,0.176613847
wavelet-LLH_glrlm_LongRunEmphasis,0.176325037
wavelet-HHL_firstorder_Minimum,0.175956823
wavelet-LLL_ngtdm_Coarseness,0.17594007
wavelet-HHH_glcm_MaximumProbability,0.175822258
wavelet-HLL_glrlm_GrayLevelVariance,0.175643184
wavelet-HLL_glrlm_LongRunEmphasis,0.17547387
wavelet-HLL_glrlm_RunVariance,0.175332944
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.175181823
wavelet-HLH_glcm_Imc1,0.175065607
wavelet-LLL_glcm_JointEntropy,0.174757481
wavelet-LHH_glcm_InverseVariance,0.174667471
squareroot_glrlm_RunPercentage,0.174434535
wavelet-HLL_firstorder_Maximum,0.174432649
original_ngtdm_Coarseness,0.174276413
wavelet-HHL_glcm_JointAverage,0.174262655
wavelet-HHL_glcm_SumAverage,0.174262655
wavelet-HLL_firstorder_Minimum,0.17416739
wavelet-HLL_firstorder_Variance,0.174090361
wavelet-HLL_gldm_GrayLevelVariance,0.173990105
